staid	type	y	b	xLogTURB	xLogCond	xTemp	xLogQ	sinDY	cosDY	xQ	RSQ	SE	df	t95
04087119	R	Cl	-.984		1.12						0.81	0.23	68	1.995
04087119	R	TP	-1.45	0.451							0.64	0.22	64	1.998
04087119	R	Fec	1.46	0.648		0.089					0.74	0.504	63	1.998
04087119	R	Ec	1.68	0.626		0.071					0.69	0.48	64	1.998
04087119	R	TSS	0.16	0.967							0.86	0.25	64	1.998
04087119	Q	Cl	6.982				-.506	0.719	0.732		0.741	0.7007	266	1.969
04087119	Q	TP	-3.016				0.349	-0.218	0.182		0.503	0.5956	266	1.969
04087119	Q	Fec	6.322				0.539	-1.599	-0.821		0.647	1.207	210	1.971
04087119	Q	Ec	6.521				0.485	-1.508	-0.524		0.594	1.177	210	1.971
04087119	Q	TSS	1.194				0.702				0.594	0.9833	251	1.969
04087050	R	Cl	-4.16	0.1511	1.99						0.74	0.1	37	2.026
04087050	R	TP	-1.37	0.486							0.75	0.19	37	2.026
04087050	R	Fec	1.49	0.777		0.035					0.58	0.51	30	2.042
04087050	R	Ec	1.81	0.693		0.025					0.58	0.45	35	2.030
04087050	R	TSS	0.334	0.91							0.94	0.17	37	2.026
04087050	Q	Cl	4.04				-0.005	0.196	0.331		0.705	0.2587	117	1.980
04087050	Q	TP	-3.036				0.459	-0.283	-0.306		0.606	0.5587	126	1.979
04087050	Q	Fec	5.194				0.768	-1.432	-1.533		0.583	1.384	99	1.984
04087050	Q	Ec	5.43				0.691	-1.238	-1.293		0.575	1.214	104	1.983
04087050	Q	TSS	1.841				0.622	-0.134	-0.742		0.582	0.9127	117	1.980
04087142	R	Cl	-1.5		1.26						0.97	0.074	77	1.991
04087142	R	TP	-1.51	0.462							0.61	0.192	75	1.992
04087142	R	Fec	1.07	1		0.062					0.54	0.652	54	2.005
04087142	R	Ec	1.29	0.886		0.059					0.54	0.542	74	1.993
04087142	R	TSS	0.108	0.974							0.85	0.21	77	1.991
04087142	Q	Cl	5.071					0.392	0.959		0.734	0.5251	151	1.976
04087142	Q	TP	-2.25								0.547	0.4583	156	1.975
04087142	Q	Fec	8.662					-1.383	-1.468		0.524	1.292	106	1.983
04087142	Q	Ec	8.207					-1.039	-1.196		0.43	1.241	130	1.978
04087142	Q	TSS	3.189								0.626	0.7177	150	1.976
04087030	R	Cl	-1.63		1.28						0.94	0.073	57	2.002
04087030	R	TP	-1.55	0.492							0.62	0.207	57	2.002
04087030	R	Fec	1.07	0.834		0.063					0.68	0.54	47	2.012
04087030	R	Ec	1.3	0.674		0.057					0.6	0.556	53	2.006
04087030	R	TSS	0.256	0.953							0.92	0.16	57	2.002
04087030	Q	Cl	4.968					0.285	0.392	-0.002	0.5822	0.506	106	1.983
04087030	Q	TP	-3.004				0.217	-0.131	-0.602		0.301	0.7472	110	1.982
04087030	Q	Fec	4.939				0.521	-1.333	-1.792		0.492	1.596	87	1.988
04087030	Q	Ec	5.057				0.427	-1.388	-1.198		0.348	1.795	95	1.985
04087030	Q	TSS	1.618				0.447	-0.08	-0.948		0.336	1.245	106	1.983
04087120	R	Cl	-1.41		1.23						0.92	0.115	99	1.984
04087120	R	TP	-1.42	0.431							0.55	0.204	89	1.987
04087120	R	Fec	1.38	0.79		0.078					0.74	0.492	66	1.997
04087120	R	Ec	1.28	0.884		0.063					0.66	0.528	79	1.990
04087120	R	TSS	0.567	0.779							0.77	0.22	93	1.986
04087120	Q	Cl	6.393				-0.214	0.362	0.583		0.739	0.407	210	1.971
04087120	Q	TP	-3.368				0.258	-0.415	-0.305		0.41	0.547	210	1.971
04087120	Q	Fec	5.455				0.463	-2.013	-1.351		0.603	1.374	162	1.95
04087120	Q	Ec	5.427				0.452	-1.96	-0.961		0.545	1.424	177	1.973
04087120	Q	TSS	0.57				0.57	-0.433	-0.553		0.51	0.8487	210	1.971
04087088	R	Cl	-1.49		1.25						0.86	0.14	185	1.973
04087088	R	TP	-1.56	0.53							0.53	0.27	184	1.973
04087088	R	Fec	2.19	0.76		0.04					0.54	0.56	147	1.976
04087088	R	Ec	2.34	0.66		0.03					0.45	0.54	155	1.975
04087088	R	TSS	0.41	0.91							0.71	0.31	182	1.973
04087088	Q	Cl	6.651				-0.365	0.582	0.378		0.744	0.4672	218	1.971
04087088	Q	TP	-3.409				0.458	-0.233	0.177		0.314	0.7941	222	1.971
04087088	Q	Fec	6.134				0.756	-1.537	-0.396	-0.001	0.606	1.211	176	1.974
04087088	Q	Ec	6.776				0.52	-1.498	-0.078		0.499	1.26	187	1.973
04087088	Q	TSS	3.164				0.286				0.137	1.299	306	1.968
